Sommario profitti e perdite Realizzati e Non realizzati,Header,Tipo di attivo,Simbolo,Agg. costo,Realizzato Profitto S/T,Realizzato Perdita S/T,Realizzato Profitto L/T,Realizzato Perdita L/T,Realizzato Totale,Non realizzato Profitto S/T,Non realizzato Perdita S/T,Non realizzato Profitto L/T,Non realizzato Perdita L/T,Non realizzato Totale,Totale,Codice
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16DEC22 155 C,0,168.730651836,0,0,0,168.730651836,0,0,0,0,0,168.730651836,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16DEC22 160 C,0,160.506313711,-107.79199027,0,0,52.714323441,0,0,0,0,0,52.714323441,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16DEC22 165 C,0,0,-687.734188842,0,0,-687.734188842,0,0,0,0,0,-687.734188842,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16DEC22 170 C,0,59.730288733,-33.040711558,0,0,26.689577175,0,0,0,0,0,26.689577175,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16DEC22 180 C,0,0,-48.164069988,0,0,-48.164069988,0,0,0,0,0,-48.164069988,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16DEC22 185 C,0,9.242775721,0,0,0,9.242775721,0,0,0,0,0,9.242775721,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16DEC22 190 C,0,0.876527539,0,0,0,0.876527539,0,0,0,0,0,0.876527539,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16DEC22 195 C,0,0,-6.153503393,0,0,-6.153503393,0,0,0,0,0,-6.153503393,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 20JAN23 155 P,0,1963.67517749,0,0,0,1963.67517749,0,0,0,0,0,1963.67517749,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17FEB23 125 P,0,136.200229695,0,0,0,136.200229695,0,0,0,0,0,136.200229695,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17FEB23 140 C,0,0,-1178.734362047,0,0,-1178.734362047,0,0,0,0,0,-1178.734362047,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17FEB23 145 P,0,450.125169515,0,0,0,450.125169515,0,0,0,0,0,450.125169515,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17FEB23 148 P,0,0,0,0,0,0,0,-115.379614587,0,0,-115.379614587,-115.379614587,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17FEB23 155 C,0,288.758872939,0,0,0,288.758872939,0,0,0,0,0,288.758872939,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17FEB23 170 C,0,0,-36.738412543,0,0,-36.738412543,0,-40.911663978,0,0,-40.911663978,-77.650076521,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 15SEP23 165 C,0,231.046106366,0,0,0,231.046106366,0,0,0,0,0,231.046106366,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 15SEP23 170 C,0,4797.930510522,0,0,0,4797.930510522,0,0,0,0,0,4797.930510522,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 15SEP23 175 C,0,0,-4680.856285569,0,0,-4680.856285569,0,0,0,0,0,-4680.856285569,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21JUN24 110 P,0,223.510607192,0,0,0,223.510607192,0,0,0,0,0,223.510607192,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21JUN24 120 P,0,393.527947787,0,0,0,393.527947787,0,0,0,0,0,393.527947787,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21JUN24 130 P,0,456.673794992,-626.391231269,0,0,-169.717436277,0,0,0,0,0,-169.717436277,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21JUN24 135 P,0,0,-106.178130554,0,0,-106.178130554,0,0,0,0,0,-106.178130554,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21JUN24 195 C,0,0,-2307.146389865,0,0,-2307.146389865,0,0,0,0,0,-2307.146389865,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21JUN24 215 C,0,1621.308985584,0,0,0,1621.308985584,0,0,0,0,0,1621.308985584,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17JAN25 85 P,0,376.494052599,0,0,0,376.494052599,0,0,0,0,0,376.494052599,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 17JAN25 140 P,0,670.407711956,0,0,0,670.407711956,0,0,0,0,0,670.407711956,
